Inuvik Mike Zubko,Inuvik,Canada,YEV,CYEV,68.304167,-133.482778,224,-7,A,America/Edmonton
Iqaluit,Iqaluit,Canada,YFB,CYFB,63.75639,-68.555832,110,-5,A,America/Toronto
Fredericton,Fredericton,Canada,YFC,CYFC,45.868889,-66.537222,68,-4,A,America/Halifax
Flin Flon,Flin Flon,Canada,YFO,CYFO,54.678055,-101.681667,997,-6,A,America/Winnipeg
Fort Resolution,Fort Resolution,Canada,YFR,CYFR,61.180832,-113.689722,526,-7,A,America/Edmonton
Fort Simpson,Fort Simpson,Canada,YFS,CYFS,61.760153,-121.236525,555,-7,A,America/Edmonton
Kingston,Kingston,Canada,YGK,CYGK,44.225277,-76.596944,305,-5,A,America/Toronto
La Grande Riviere,La Grande Riviere,Canada,YGL,CYGL,53.625278,-77.704167,639,-5,A,America/Toronto
Gaspe,Gaspe,Canada,YGP,CYGP,48.775278,-64.478611,108,-5,A,America/Toronto
Geraldton Greenstone Regional,Geraldton,Canada,YGQ,CYGQ,49.778332,-86.939445,1144,-5,A,America/Toronto
Iles De La Madeleine,Iles De La Madeleine,Canada,YGR,CYGR,47.424721,-61.778056,35,-5,A,America/Toronto
Hudson Bay,Hudson Bay,Canada,YHB,CYHB,52.816666,-102.31139,1175,-6,N,America/Regina
Dryden Rgnl,Dryden,Canada,YHD,CYHD,49.831667,-92.744167,1354,-6,A,America/Winnipeg
Ulukhaktok Holman,Holman Island,Canada,YHI,CYHI,70.762778,-117.806111,117,-7,A,America/Edmonton
Gjoa Haven,Gjoa Haven,Canada,YHK,CYHK,68.635556,-95.849722,152,-7,A,America/Edmonton
Hamilton,Hamilton,Canada,YHM,CYHM,43.173611,-79.935,780,-5,A,America/Toronto
Hay River,Hay River,Canada,YHY,CYHY,60.839722,-115.782778,543,-7,A,America/Edmonton
Halifax Intl,Halifax,Canada,YHZ,CYHZ,44.880833,-63.50861,477,-4,A,America/Halifax
Atikokan Muni,Atikokan,Canada,YIB,CYIB,48.773888,-91.638611,1408,-5,A,America/Coral_Harbour
Pond Inlet,Pond Inlet,Canada,YIO,CYIO,72.683334,-77.966667,181,-5,A,America/Toronto
St Jean,St. Jean,Canada,YJN,CYJN,45.294445,-73.281111,136,-5,A,America/Toronto
Stephenville,Stephenville,Canada,YJT,CYJT,48.544167,-58.549999,80,-3.5,A,America/St_Johns
